region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Italy,2020-02-14,1.6617417837855917,1.6155800835107803,1.2120509139780729,2.1187111686896953,1.3204587100170826,1.6790467117201264
Italy,2020-02-15,1.6482044626203436,1.613014443393866,1.2191908399312248,2.099316897156159,1.3005030278044147,1.662357448411135
Italy,2020-02-16,1.64143807396061,1.6066052373407695,1.2370533369958179,2.0879203065715966,1.3042116486117243,1.6572781938885695
Italy,2020-02-17,1.6308978486708134,1.5984983827043684,1.2112835553210886,2.0432656554689324,1.3433915378537757,1.694879358279414
Italy,2020-02-18,1.6145713756326565,1.5709031842436876,1.211305380690943,2.0192245554199046,1.3408515113391355,1.6842084531487824
Italy,2020-02-19,1.6148127627964228,1.567036416290963,1.2182161754381755,2.022062907508015,1.359145188243129,1.7041999450481256
Italy,2020-02-20,1.6064715147736548,1.5595540791693727,1.2012125502334001,1.9943255307861332,1.3499614754849083,1.6832945087214846
Italy,2020-02-21,1.5993202500497488,1.5557456948496569,1.2178972211769632,2.000949824338683,1.3360178066662436,1.667691976653274
Italy,2020-02-22,1.5904761330228812,1.5501735584922964,1.2044089972218637,1.9922447083382817,1.3000625440888087,1.6236915792548408
Italy,2020-02-23,1.5853124790372441,1.5368576758575967,1.1995512121019511,1.9721894775237372,1.3007691029993182,1.6216941268768847
Italy,2020-02-24,1.5748701690290536,1.5256350566128434,1.2062364001182009,1.975846825446816,1.3221569279547603,1.642832348349133
Italy,2020-02-25,1.5677680106597074,1.5267344496834552,1.187859409883313,1.9442757519017735,1.2791132743804197,1.590421145134539
Italy,2020-02-26,1.5457949030701432,1.5195667229131473,1.197741927380902,1.9257847684241542,1.2791246276472592,1.5749270857999105
Italy,2020-02-27,1.5310624203167886,1.491104024817885,1.1796798426496187,1.883209384050447,1.2805117015052867,1.5730041060020064
Italy,2020-02-28,1.5209650043492926,1.495245017735797,1.1915110152782318,1.896781803252884,1.240688238268989,1.5274738031124477
Italy,2020-02-29,1.5065153605498784,1.479540975557236,1.1719191243729328,1.8598874805573016,1.2692668653118662,1.5466711448458086
Italy,2020-03-01,1.4819320948831967,1.4445345252549109,1.1457221131632795,1.7935040652054097,1.2419610984114193,1.510607317082213
Italy,2020-03-02,1.4559946014925447,1.4249326362190837,1.1489182009739294,1.7715010078027702,1.2597616731415404,1.5145783088416223
