region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Cyprus,2020-03-07,1.2069303729359666,1.1592285837628906,0.7967219238616914,1.6458395423624819,0.9885047771301958,1.2709481959956832
Cyprus,2020-03-08,1.2003213815820368,1.1563614866731,0.7880621484044372,1.6165655029822523,0.9757774110571099,1.255277181288537
Cyprus,2020-03-09,1.1948892177856971,1.1536071696480508,0.7571311812320428,1.571138576727166,0.9987522911411021,1.2670208880570102
Cyprus,2020-03-10,1.1900690022840095,1.149794088515765,0.7909881081944021,1.598765743226398,0.9721238420912868,1.2321418541565565
Cyprus,2020-03-11,1.1868208883763889,1.1498607227416626,0.8198739531362478,1.6128233194041066,0.9839574311184027,1.2433052694571465
Cyprus,2020-03-12,1.1778530195044863,1.1451523141147129,0.8103415574841097,1.5909191262504772,0.96589199536462,1.2222964419114473
Cyprus,2020-03-13,1.171171877023433,1.137747781526322,0.7921729222592646,1.5605924368593682,0.9698352283839765,1.2187741867532407
Cyprus,2020-03-14,1.162502918968079,1.1319241418592925,0.8110347968065096,1.5491396666933015,0.9867631914830849,1.2283080487937938
Cyprus,2020-03-15,1.1582082482298448,1.1257036073753948,0.7894687026843329,1.505631599229707,0.9816584003949669,1.218919999774961
Cyprus,2020-03-16,1.1507342580866464,1.119323097951155,0.809294127883612,1.5181796831519363,0.9843000158365349,1.2138771266131192
Cyprus,2020-03-17,1.1442076160904673,1.1172456249670606,0.8101296620570401,1.4967949681430035,0.9916913104570034,1.2172630542922114
Cyprus,2020-03-18,1.1381394663738356,1.1111977360699965,0.792585967470248,1.4651275872443412,0.9669080373243162,1.1923882182393397
Cyprus,2020-03-19,1.1335375305890054,1.1054961556061063,0.8393607245871575,1.512021317157492,0.9589627556284541,1.1821238576099102
Cyprus,2020-03-20,1.1260664375370169,1.0983991141871599,0.8074941125851581,1.468437556967991,0.9717759249589477,1.1901804911547518
Cyprus,2020-03-21,1.119365338883349,1.0930728332379172,0.8080326001527958,1.4636652201293805,0.9595872803457844,1.173543464057815
Cyprus,2020-03-22,1.1107525884285798,1.0869506999605467,0.7662488118008358,1.4155753642177173,0.967169381202888,1.1785349275028185
Cyprus,2020-03-23,1.1027425197779797,1.079816185379885,0.803129823197466,1.4419176743711808,0.9693534578148876,1.1769256960621124
Cyprus,2020-03-24,1.093508128298583,1.074140322359288,0.779537862867412,1.3989662998899286,0.9678766211504463,1.1735864868619166
Cyprus,2020-03-25,1.0837535500813729,1.0663595555847827,0.7900842015917775,1.4047654477741836,0.9491184924226006,1.1511636845588418
Cyprus,2020-03-26,1.0722880451475012,1.057147474000439,0.7723550273702889,1.3864367223926366,0.9473217828064479,1.1439506378351334
Cyprus,2020-03-27,1.05984376568455,1.0477671212916857,0.7690976615042643,1.3668135267326667,0.9473357846715872,1.1441550160165346
Cyprus,2020-03-28,1.0463497055750999,1.0418195205160763,0.7406526834341979,1.343944230687864,0.9493218388783157,1.1514000527351318
Cyprus,2020-03-29,1.0344600160794444,1.0317451022284225,0.7444078769501903,1.3376669995502535,0.9252706810436957,1.1250052830535937
Cyprus,2020-03-30,1.0218494134385652,1.0217932087744686,0.7256296956233024,1.3270918638265807,0.9224367043685257,1.121602061565592
Cyprus,2020-03-31,1.0096305973177082,1.011408735121722,0.705310100425415,1.308957534483458,0.9150081463571409,1.1101015681481854
Cyprus,2020-04-01,0.9976720726886262,1.00481174451869,0.6805171977061457,1.280063569204155,0.900671473457231,1.095671093653065
Cyprus,2020-04-02,0.9852758436837862,0.9941326371269233,0.6644382972221539,1.274762182868158,0.898722539369818,1.0966396618724734
Cyprus,2020-04-03,0.9732503741975377,0.98686561359918,0.6522592961069991,1.2638905181359061,0.9111879820609387,1.1092976173469136
Cyprus,2020-04-04,0.9643012897615174,0.982118211737075,0.6292909257664575,1.2534855855869922,0.8845876787748631,1.089134074620186
Cyprus,2020-04-05,0.9528670237228133,0.974896015623236,0.6354804787130244,1.2723704736567307,0.8969159646941175,1.1085602103746752
Cyprus,2020-04-06,0.9440643653173623,0.9657751084060084,0.5884038893640102,1.2277683305928995,0.8746418573734223,1.0849517002367555
Cyprus,2020-04-07,0.9330583437068377,0.957790734392489,0.603576782619693,1.2635978584606302,0.8844116459943991,1.1000206303770619
Cyprus,2020-04-08,0.9244542002767092,0.9511897009477469,0.5667339964258002,1.250873263236014,0.8595363264068772,1.0818940805637323
